segment_point_id,latitude,longitude,road_code,route_segment,road_type,provincia,is_highway,km_marker,imd_total,imd_light,imd_heavy,pct_heavy,demand_index,imd_station_dist_km,imd_low_confidence,ev_fleet_province_2027,ev_fleet_point_allocated,ev_penetration_rate_2027,estimated_daily_ev_passages,nearest_charger_dist_km,nearest_charger_power_kw,nearest_charger_connections,nearest_fast_charger_dist_km,coverage_gap_flag,coverage_gap_km,available_capacity_mw,available_capacity_kw,nearest_substation_dist_km,distributor_network,grid_low_confidence,estimated_ev_demand_kw,n_chargers_proposed,grid_load_ratio,grid_status,traffic_weighted_demand,composite_priority_score
A38_0064,39.18344,-0.296496,A-38,A-38,AUTOVÍA,VALENCIA/VALÈNCIA,True,0.0,10160,8636.0,1524.0,15.0,508.0,6.12,False,29703,687.03,0.3,2590.8,2.266,100000.0,4,2.266,False,0.0,9.81,9810.0,13.688,Viesgo,False,7772.4,12,0.792294,Moderate,2590.8,0.274344
A4_0065,37.750944,-4.842009,A-4,A-4,AUTOVÍA,CÓRDOBA,True,0.0,1298,1103.0,195.0,15.0,5344.0,3.43,False,20131,87.77,0.3,330.9,5.9,272000.0,16,5.9,False,0.0,51.53,51530.0,21.766,Endesa,True,992.7,11,0.019265,Sufficient,330.9,0.253009
A4_0066,37.579954,-4.994644,A-4,A-4,AUTOVÍA,CÓRDOBA,True,50.0,1298,1103.0,195.0,15.0,5344.0,25.2,True,20131,87.77,0.3,330.9,8.135,143650.0,12,8.135,False,0.0,51.53,51530.0,45.019,Endesa,True,992.7,11,0.019265,Sufficient,330.9,0.253009
A4_0067,37.844671,-4.791309,A-4,A-4,AUTOVÍA,CÓRDOBA,True,100.0,1298,1103.0,195.0,15.0,5344.0,10.73,False,20131,87.77,0.3,330.9,0.219,66420.0,24,0.219,False,0.0,51.53,51530.0,10.734,Endesa,False,992.7,11,0.019265,Sufficient,330.9,0.253009
A4_0068,38.278758,-3.600702,A-4,A-4,AUTOVÍA,CÓRDOBA,True,150.0,26968,22923.0,4045.0,15.0,4153.0,8.84,False,20131,1823.59,0.3,6876.9,0.638,262000.0,12,0.638,False,0.0,51.53,51530.0,105.242,Endesa,True,20630.7,12,0.400363,Moderate,6876.9,0.316272
A4_0069,38.771686,-3.403411,A-4,A-4,AUTOVÍA,CÓRDOBA,True,200.0,25499,21674.0,3825.0,15.0,5227.0,28.78,True,20131,1724.26,0.3,6502.2,0.85,88000.0,16,0.85,False,0.0,9.64,9640.0,73.305,Endesa,True,19506.6,12,2.023506,Congested,6502.2,0.311355
A4_0070,39.898324,-3.472987,A-4,A-4,AUTOVÍA,CÓRDOBA,True,250.0,1858,1579.0,279.0,15.0,6678.0,5.27,False,20131,125.64,0.3,473.7,3.119,143650.0,12,3.119,False,0.0,4.25,4250.0,28.122,Endesa,True,1421.1,12,0.334376,Moderate,473.7,0.254147
A4_0071,40.222008,-3.686536,A-4,A-4,AUTOVÍA,CÓRDOBA,True,300.0,133792,113723.0,20069.0,15.0,9499.0,9.27,False,20131,9047.1,0.3,34116.9,1.414,121060.0,12,1.414,False,0.0,3.9,3900.0,8.317,Endesa,False,102350.7,12,26.243769,Congested,34116.9,0.560419
A4_0072,37.510283,-5.354705,A-4,A-4,AUTOVÍA,CÓRDOBA,True,350.0,1298,1103.0,195.0,15.0,5344.0,55.39,True,20131,87.77,0.3,330.9,5.334,44000.0,8,5.334,False,0.0,34.24,34240.0,52.689,Endesa,True,992.7,11,0.028992,Sufficient,330.9,0.253001
A4_0073,37.90495,-4.624121,A-4,A-4,AUTOVÍA,CÓRDOBA,True,400.0,1298,1103.0,195.0,15.0,5344.0,23.46,True,20131,87.77,0.3,330.9,1.452,143650.0,12,1.452,False,0.0,51.53,51530.0,7.662,Endesa,False,992.7,11,0.019265,Sufficient,330.9,0.253009
